shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|8|5|9|0.31561899185180664
(500, 784)|(784, 256)|8|5|10|0.4046649932861328
(500, 784)|(784, 256)|8|5|11|0.35744309425354004
(500, 784)|(784, 256)|8|5|12|0.2874267101287842
(500, 784)|(784, 256)|8|5|13|0.36422300338745117
(500, 784)|(784, 256)|8|5|14|0.34014892578125
(500, 784)|(784, 256)|8|5|15|0.3714020252227783
(500, 784)|(784, 256)|8|5|16|0.2840080261230469
(500, 784)|(784, 256)|8|6|7|0.2696108818054199
(500, 784)|(784, 256)|8|6|8|0.3482990264892578
(500, 784)|(784, 256)|8|6|9|0.24840807914733887
(500, 784)|(784, 256)|8|6|10|0.29100823402404785
(500, 784)|(784, 256)|8|6|11|0.35932493209838867
(500, 784)|(784, 256)|8|6|12|0.3657090663909912
(500, 784)|(784, 256)|8|6|13|0.3133869171142578
(500, 784)|(784, 256)|8|6|14|0.32500314712524414
(500, 784)|(784, 256)|8|6|15|0.39362382888793945
(500, 784)|(784, 256)|8|6|16|0.3339881896972656
(500, 784)|(784, 256)|8|7|8|0.3123898506164551
(500, 784)|(784, 256)|8|7|9|0.35515689849853516
(500, 784)|(784, 256)|8|7|10|0.6821320056915283
(500, 784)|(784, 256)|8|7|11|0.3578498363494873
(500, 784)|(784, 256)|8|7|12|0.2543661594390869
(500, 784)|(784, 256)|8|7|13|0.2873110771179199
(500, 784)|(784, 256)|8|7|14|0.2206418514251709
(500, 784)|(784, 256)|8|7|15|0.3165619373321533
(500, 784)|(784, 256)|8|7|16|0.33345603942871094
(500, 784)|(784, 256)|9|1|2|0.2845892906188965
(500, 784)|(784, 256)|9|1|3|0.29365110397338867
(500, 784)|(784, 256)|9|1|4|0.28848934173583984
(500, 784)|(784, 256)|9|1|5|0.26058483123779297
(500, 784)|(784, 256)|9|1|6|0.29715824127197266
(500, 784)|(784, 256)|9|1|7|0.301037073135376
(500, 784)|(784, 256)|9|1|8|0.34883785247802734
(500, 784)|(784, 256)|9|1|9|0.3290140628814697
(500, 784)|(784, 256)|9|1|10|0.3208310604095459
(500, 784)|(784, 256)|9|1|11|0.3714931011199951
(500, 784)|(784, 256)|9|1|12|0.3757040500640869
(500, 784)|(784, 256)|9|1|13|0.21779894828796387
(500, 784)|(784, 256)|9|1|14|0.2636411190032959
(500, 784)|(784, 256)|9|1|15|0.3458070755004883
(500, 784)|(784, 256)|9|1|16|0.259829044342041
(500, 784)|(784, 256)|9|2|3|0.3520166873931885
(500, 784)|(784, 256)|9|2|4|0.355374813079834
(500, 784)|(784, 256)|9|2|5|0.2823479175567627
(500, 784)|(784, 256)|9|2|6|0.3350200653076172
(500, 784)|(784, 256)|9|2|7|0.4008901119232178
(500, 784)|(784, 256)|9|2|8|0.25489211082458496
(500, 784)|(784, 256)|9|2|9|0.3241598606109619
(500, 784)|(784, 256)|9|2|10|0.4174072742462158
(500, 784)|(784, 256)|9|2|11|0.34839296340942383
(500, 784)|(784, 256)|9|2|12|0.3504769802093506
(500, 784)|(784, 256)|9|2|13|0.27762603759765625
(500, 784)|(784, 256)|9|2|14|0.34511399269104004
(500, 784)|(784, 256)|9|2|15|0.22666382789611816
(500, 784)|(784, 256)|9|2|16|0.25264811515808105
(500, 784)|(784, 256)|9|3|4|0.4074890613555908
(500, 784)|(784, 256)|9|3|5|0.3335278034210205
(500, 784)|(784, 256)|9|3|6|0.33794116973876953
(500, 784)|(784, 256)|9|3|7|0.4211299419403076
(500, 784)|(784, 256)|9|3|8|0.32909393310546875
(500, 784)|(784, 256)|9|3|9|0.3270857334136963
(500, 784)|(784, 256)|9|3|10|0.3492739200592041
(500, 784)|(784, 256)|9|3|11|0.35123586654663086
(500, 784)|(784, 256)|9|3|12|0.7604432106018066
(500, 784)|(784, 256)|9|3|13|0.6615910530090332
(500, 784)|(784, 256)|9|3|14|0.2821331024169922
(500, 784)|(784, 256)|9|3|15|0.3981971740722656
(500, 784)|(784, 256)|9|3|16|0.613940954208374
(500, 784)|(784, 256)|9|4|5|0.2690000534057617
(500, 784)|(784, 256)|9|4|6|0.2877228260040283
(500, 784)|(784, 256)|9|4|7|0.30138492584228516
(500, 784)|(784, 256)|9|4|8|0.3341822624206543
(500, 784)|(784, 256)|9|4|9|0.4278910160064697
(500, 784)|(784, 256)|9|4|10|0.4554288387298584
(500, 784)|(784, 256)|9|4|11|0.30783891677856445
(500, 784)|(784, 256)|9|4|12|0.3767430782318115
(500, 784)|(784, 256)|9|4|13|0.2982168197631836
(500, 784)|(784, 256)|9|4|14|0.3285400867462158
(500, 784)|(784, 256)|9|4|15|0.28938984870910645
(500, 784)|(784, 256)|9|4|16|0.2487030029296875
(500, 784)|(784, 256)|9|5|6|0.346142053604126
