shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|7|1|14|0.4181640148162842
(500, 784)|(784, 256)|7|1|15|0.3052558898925781
(500, 784)|(784, 256)|7|1|16|0.29981517791748047
(500, 784)|(784, 256)|7|1|17|0.26286983489990234
(500, 784)|(784, 256)|7|1|18|0.26744699478149414
(500, 784)|(784, 256)|7|1|19|0.2745349407196045
(500, 784)|(784, 256)|7|1|20|0.3403928279876709
(500, 784)|(784, 256)|7|1|21|0.26523709297180176
(500, 784)|(784, 256)|7|1|22|0.2813091278076172
(500, 784)|(784, 256)|7|1|23|0.3120708465576172
(500, 784)|(784, 256)|7|1|24|0.2840738296508789
(500, 784)|(784, 256)|7|1|25|0.26493024826049805
(500, 784)|(784, 256)|7|1|26|0.2938048839569092
(500, 784)|(784, 256)|7|1|27|0.2747819423675537
(500, 784)|(784, 256)|7|1|28|0.26738715171813965
(500, 784)|(784, 256)|7|1|29|0.306793212890625
(500, 784)|(784, 256)|7|1|30|0.3046247959136963
(500, 784)|(784, 256)|7|1|31|0.28531813621520996
(500, 784)|(784, 256)|7|1|32|0.29202723503112793
(500, 784)|(784, 256)|7|2|3|0.2214362621307373
(500, 784)|(784, 256)|7|2|4|0.3096911907196045
